JobID|JobName|Partition|State|ExitCode|Elapsed|NodeList
123135|rfdiff_epitope|RTX3090|COMPLETED|0:0|00:05:11|gpu14
123135.batch|batch||COMPLETED|0:0|00:05:11|gpu14
123135.extern|extern||COMPLETED|0:0|00:05:11|gpu14
123139|epi_merge|AMD|CANCELLED by 546|0:0|00:00:00|None assigned
123136_1|epi_array|RTX3090|COMPLETED|0:0|00:00:07|gpu14
123136_1.batch|batch||COMPLETED|0:0|00:00:07|gpu14
123136_1.extern|extern||COMPLETED|0:0|00:00:07|gpu14
123136_2|epi_array|RTX3090|COMPLETED|0:0|00:00:07|gpu14
123136_2.batch|batch||COMPLETED|0:0|00:00:07|gpu14
123136_2.extern|extern||COMPLETED|0:0|00:00:07|gpu14
123136_3|epi_array|RTX3090|COMPLETED|0:0|00:00:28|gpu15
123136_3.batch|batch||COMPLETED|0:0|00:00:28|gpu15
123136_3.extern|extern||COMPLETED|0:0|00:00:28|gpu15
123136_4|epi_array|RTX3090|COMPLETED|0:0|00:00:28|gpu15
123136_4.batch|batch||COMPLETED|0:0|00:00:28|gpu15
123136_4.extern|extern||COMPLETED|0:0|00:00:28|gpu15
123136_5|epi_array|RTX3090|COMPLETED|0:0|00:00:28|gpu15
123136_5.batch|batch||COMPLETED|0:0|00:00:28|gpu15
123136_5.extern|extern||COMPLETED|0:0|00:00:28|gpu15
123136_6|epi_array|RTX3090|COMPLETED|0:0|00:00:27|gpu15
123136_6.batch|batch||COMPLETED|0:0|00:00:27|gpu15
123136_6.extern|extern||COMPLETED|0:0|00:00:27|gpu15
123136_7|epi_array|RTX3090|COMPLETED|0:0|00:00:07|gpu16
123136_7.batch|batch||COMPLETED|0:0|00:00:07|gpu16
123136_7.extern|extern||COMPLETED|0:0|00:00:07|gpu16
123136_8|epi_array|RTX3090|COMPLETED|0:0|00:00:07|gpu16
123136_8.batch|batch||COMPLETED|0:0|00:00:07|gpu16
123136_8.extern|extern||COMPLETED|0:0|00:00:07|gpu16
123136_9|epi_array|RTX3090|COMPLETED|0:0|00:00:07|gpu16
123136_9.batch|batch||COMPLETED|0:0|00:00:07|gpu16
123136_9.extern|extern||COMPLETED|0:0|00:00:07|gpu16
123136_10|epi_array|RTX3090|COMPLETED|0:0|00:00:07|gpu16
