condition_id,predictor,design_id,source_pass,model_pdb,contact_residue_count,contact_residues_present,contact_residue_identity_preserved,contact_residue_charge_class_preserved,contact_face_atoms_reference,contact_face_atoms_compared,contact_face_atoms_missing,contact_face_RMSD,whole_motif_exposure_proxy,contact_face_exposure_proxy,local_support_residue_count_8A,local_occluding_atom_count,local_clash_count,decision,caution_flags
c03_a163_181_all_20_30,af3,design_13,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_13/predictions_flat/design_13.pdb,10,10,10,10,37,37,0,1.22487,0.0401396,0.0490716,29,14,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_11,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_11/predictions_flat/design_11.pdb,10,10,10,10,37,37,0,2.18302,0.0480167,0.0570108,31,12,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_18,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_18/predictions_flat/design_18.pdb,10,10,10,10,37,37,0,1.0457,0.035061,0.0420455,32,14,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_4,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_4/predictions_flat/design_4.pdb,10,10,10,10,37,37,0,2.51614,0.0461538,0.0534682,27,13,0,contact_face_caution,contact_face_rmsd_high;contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_0,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_0/predictions_flat/design_0.pdb,10,10,10,10,37,37,0,2.50832,0.0440332,0.0547337,27,13,0,contact_face_caution,contact_face_rmsd_high;contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_15,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_15/predictions_flat/design_15.pdb,10,10,10,10,37,37,0,2.27447,0.0413174,0.0492676,34,13,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_12,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_12/predictions_flat/design_12.pdb,10,10,10,10,37,37,0,1.47413,0.0365854,0.0434783,31,17,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_14,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_14/predictions_flat/design_14.pdb,10,10,10,10,37,37,0,1.60021,0.0383333,0.0497981,28,13,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_16,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_16/predictions_flat/design_16.pdb,10,10,10,10,37,37,0,1.96891,0.0337739,0.039657,34,15,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_17,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_17/predictions_flat/design_17.pdb,10,10,10,10,37,37,0,1.50493,0.0368,0.0424799,36,16,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_3,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_3/predictions_flat/design_3.pdb,10,10,10,10,37,37,0,1.86512,0.0326395,0.0384216,35,16,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
c03_a163_181_all_20_30,af3,design_5,PASS,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_5/predictions_flat/design_5.pdb,10,10,10,10,37,37,0,2.11585,0.0309695,0.0347744,35,21,0,contact_face_caution,contact_face_low_exposure_proxy;possible_contact_face_occlusion
