rank,design_id,selection_status,selection_reason,global_fold_cluster_id,motif_local_cluster_id,sequence_cluster_id,AF3 pLDDT,AF3 PAE,AF3 motif RMSD,RF3 pLDDT,RF3 PAE,RF3 motif RMSD,Boltz warning,model_pdb,recommended_for_expression
1,design_1,top5,AF3 PASS; diversity-aware representative; motif_rmsd_lt_1.5,F2,M2,S2,90.43900321543408,2.722353714661407,0.7211806366280962,,,,,examples/epitope_scaffold/backend_comparison_5tpn_foundry_20260628_213554/rfdiffusion_v1/array_work/design_1/predictions_flat/design_1.pdb,yes
2,design_0,top5,AF3 PASS; diversity-aware representative; motif_rmsd_lt_1.5,F1,M1,S1,79.34049152542373,5.802182106724856,0.8296094022656298,,,,,examples/epitope_scaffold/backend_comparison_5tpn_foundry_20260628_213554/rfdiffusion_v1/array_work/design_0/predictions_flat/design_0.pdb,yes
3,design_7,top5,AF3 PASS; diversity-aware representative; motif_rmsd_lt_1.5,F6,M6,S6,84.71767485822306,4.671199845679013,0.890868233368453,,,,,examples/epitope_scaffold/backend_comparison_5tpn_foundry_20260628_213554/rfdiffusion_v1/array_work/design_7/predictions_flat/design_7.pdb,yes
4,design_2,top5,AF3 PASS; diversity-aware representative; motif_rmsd_lt_1.5,F3,M3,S3,83.29615062761506,3.908546089760817,0.9532936556580662,,,,,examples/epitope_scaffold/backend_comparison_5tpn_foundry_20260628_213554/rfdiffusion_v1/array_work/design_2/predictions_flat/design_2.pdb,yes
5,design_3,top5,AF3 PASS; diversity-aware representative; motif_rmsd_lt_1.5,F4,M4,S4,85.36316326530613,4.017913832199547,1.0391202635184176,,,,,examples/epitope_scaffold/backend_comparison_5tpn_foundry_20260628_213554/rfdiffusion_v1/array_work/design_3/predictions_flat/design_3.pdb,yes
6,design_9,top10,AF3 PASS; diversity-aware representative; motif_rmsd_lt_1.5,F7,M7,S3,91.43010183299388,2.637403045101982,1.0419264734448714,,,,,examples/epitope_scaffold/backend_comparison_5tpn_foundry_20260628_213554/rfdiffusion_v1/array_work/design_9/predictions_flat/design_9.pdb,no
7,design_4,top10,AF3 PASS; diversity-aware representative; motif_rmsd_threshold_pass,F5,M5,S5,87.22660831509847,3.352611111111111,1.8495321570388235,,,,,examples/epitope_scaffold/backend_comparison_5tpn_foundry_20260628_213554/rfdiffusion_v1/array_work/design_4/predictions_flat/design_4.pdb,no
