rank,design_id,selection_status,selection_reason,global_fold_cluster_id,motif_local_cluster_id,sequence_cluster_id,AF3 pLDDT,AF3 PAE,AF3 motif RMSD,RF3 pLDDT,RF3 PAE,RF3 motif RMSD,Boltz warning,model_pdb,recommended_for_expression
1,design_2,top5,AF3/RF3 PASS; diversity-aware representative; motif_rmsd_lt_1.5,F4,M4,S4,86.7435,4.42633,0.913073,86.0052,2.99828,1.07191,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_2/predictions_flat/design_2.pdb,yes
2,design_16,top5,AF3/RF3 PASS; diversity-aware representative; motif_rmsd_threshold_pass,F2,M2,S2,90.7715,2.92595,1.87639,81.4357,3.73192,0.879466,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_16/predictions_flat/design_16.pdb,yes
3,design_13,top5,AF3/RF3 PASS; diversity-aware representative; motif_rmsd_threshold_pass,F1,M1,S1,84.1596,4.32854,2.0856,79.1951,4.1422,2.11287,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_13/predictions_flat/design_13.pdb,yes
4,design_17,top5,AF3/RF3 PASS; diversity-aware representative; motif_rmsd_threshold_pass,F3,M3,S3,82.5005,7.30941,2.34052,84.5949,5.66778,2.42242,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_17/predictions_flat/design_17.pdb,yes
