backbone_id,design_id,pass,plddt_mean,pae_mean,motif_rmsd,clash_count,ptm,iptm,ranking_score,prediction_has_clash,motif_atoms_compared,motif_atoms_missing,model_pdb,confidence_file,source_summary,task_dir,parse_error
design_13,design_13,PASS,91.04836538461538,2.5173418209876544,0.715532394790868,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_13/predictions_flat/design_13.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_13/predictions_flat/design_13.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_13/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_13,
design_11,design_11,PASS,89.98720164609054,3.214792899408284,1.6210853657507338,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_11/predictions_flat/design_11.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_11/predictions_flat/design_11.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_11/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_11,
design_18,design_18,PASS,89.59292307692307,3.0493843818519144,0.6283299404062705,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_18/predictions_flat/design_18.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_18/predictions_flat/design_18.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_18/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_18,
design_4,design_4,PASS,89.06983739837398,3.367976820357773,1.9260641555756621,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_4/predictions_flat/design_4.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_4/predictions_flat/design_4.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_4/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_4,
design_0,design_0,PASS,88.9545394736842,3.067397329302091,1.7859572441385152,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_0/predictions_flat/design_0.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_0/predictions_flat/design_0.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_0/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_0,
design_15,design_15,PASS,88.55378585086042,3.554628027681661,1.809105525489963,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_15/predictions_flat/design_15.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_15/predictions_flat/design_15.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_15/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_15,
design_12,design_12,PASS,88.22601449275362,3.804783950617284,1.0622506862921068,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_12/predictions_flat/design_12.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_12/predictions_flat/design_12.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_12/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_12,
design_14,design_14,PASS,87.22973484848485,3.7725778546712805,1.0112862644094838,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_14/predictions_flat/design_14.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_14/predictions_flat/design_14.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_14/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_14,
design_16,design_16,PASS,86.839110707804,3.9528742283950615,2.163999701048095,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_16/predictions_flat/design_16.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_16/predictions_flat/design_16.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_16/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_16,
design_17,design_17,PASS,86.55008880994671,3.743653549382716,1.434564231553242,0,,,,,76,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_17/predictions_flat/design_17.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_17/predictions_flat/design_17.json,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_17/filter_summary.csv,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c03_a163_181_all_20_30/array_work/design_17,
