backend,design_id,raw_backbone_pdb,raw_source_structure,trb_path,raw_backbone_motif_rmsd,motif_atoms_compared,motif_atoms_missing,motif_residue_count,motif_residues_mapped,motif_residue_mapping_status,local_support_residue_count,backbone_length,raw_backbone_clash_count_around_motif,output_normalization_status,normalization_metadata
rfdiffusion_v1,design_0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_0.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_0.trb,0.394587,76,0,19,19,complete,21,61,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_1,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_1.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_1.trb,0.285985,76,0,19,19,complete,20,61,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_2,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_2.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_2.trb,0.391575,76,0,19,19,complete,28,90,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_3,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_3.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_3.trb,0.30894,76,0,19,19,complete,23,78,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_4,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_4.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_4.trb,0.285863,76,0,19,19,complete,23,55,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_5,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_5.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_5.trb,0.296669,76,0,19,19,complete,23,84,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_6,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_6.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_6.trb,0.287668,76,0,19,19,complete,22,56,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_7,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_7.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_7.trb,0.276709,76,0,19,19,complete,22,55,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_8,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_8.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_8.trb,0.281916,76,0,19,19,complete,23,80,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_9,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_9.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_9.trb,0.271512,76,0,19,19,complete,26,59,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_10,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_10.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_10.trb,0.400066,76,0,19,19,complete,23,62,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_11,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_11.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_11.trb,0.377544,76,0,19,19,complete,26,71,1,native_rfdiffusion_trb,
rfdiffusion_v1,design_12,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_12.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_12.trb,0.295006,76,0,19,19,complete,19,52,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_13,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_13.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_13.trb,0.408369,76,0,19,19,complete,23,62,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_14,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_14.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_14.trb,0.362713,76,0,19,19,complete,25,61,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_15,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_15.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_15.trb,0.291928,76,0,19,19,complete,22,67,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_16,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_16.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_16.trb,0.403427,76,0,19,19,complete,27,54,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_17,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_17.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_17.trb,0.274074,76,0,19,19,complete,22,55,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_18,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_18.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_18.trb,0.371072,76,0,19,19,complete,22,73,0,native_rfdiffusion_trb,
rfdiffusion_v1,design_19,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_19.pdb,,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/rfdiffusion_v1/rfdiffusion_outputs/design_19.trb,0.325665,76,0,19,19,complete,23,62,0,native_rfdiffusion_trb,
foundry_rfd3,design_0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_0.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/foundry_rfd3/raw_outputs/input_motif_scaffold_0_model_0.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_0.trb,0.0110098,76,0,19,19,complete,50,89,2,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_0.foundry_metadata.json
foundry_rfd3,design_1,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_1.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/foundry_rfd3/raw_outputs/input_motif_scaffold_0_model_1.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_1.trb,0.0110098,76,0,19,19,complete,64,89,3,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_1.foundry_metadata.json
foundry_rfd3,design_2,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_2.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/foundry_rfd3/raw_outputs/input_motif_scaffold_1_model_0.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_2.trb,0.0110098,76,0,19,19,complete,59,81,3,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_2.foundry_metadata.json
foundry_rfd3,design_3,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_3.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/foundry_rfd3/raw_outputs/input_motif_scaffold_1_model_1.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_3.trb,0.0110098,76,0,19,19,complete,53,81,3,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_3.foundry_metadata.json
foundry_rfd3,design_4,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_4.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/foundry_rfd3/raw_outputs/input_motif_scaffold_2_model_0.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_4.trb,0.0110098,76,0,19,19,complete,60,91,1,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_4.foundry_metadata.json
foundry_rfd3,design_5,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_5.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/foundry_rfd3/raw_outputs/input_motif_scaffold_2_model_1.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_5.trb,0.0110098,76,0,19,19,complete,45,91,0,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/phase1_smoke/foundry_rfd3/rfdiffusion_outputs/design_5.foundry_metadata.json
