design_id,predictor,prediction_status,pass,plddt_mean,confidence_score,ptm,iptm,pae_mean,ranking_score,motif_rmsd,motif_atoms_compared,motif_atoms_missing,clash_count,model_output_path,confidence_file,parse_error
design_0,af3,SUCCESS,FAIL,74.351,74.351,,,9.70932,,7.62401,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_0/predictions_flat/design_0.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_0/predictions_flat/design_0.json,
design_0,rf3,MISSING,,,,,,,,,,,,,,
design_0,boltz,MISSING,,,,,,,,,,,,,,
design_1,af3,SUCCESS,PASS,86.7086,86.7086,,,3.23743,,1.71126,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_1/predictions_flat/design_1.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_1/predictions_flat/design_1.json,
design_1,rf3,SUCCESS,PASS,81.9121,81.9121,,,2.56169,,1.01066,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/rf3_confirmations_final/design_1/predictions_flat/rf3/design_1.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/rf3_confirmations_final/design_1/predictions_flat/rf3/design_1.json,
design_1,boltz,MISSING,,,,,,,,,,,,,,
design_10,af3,SUCCESS,FAIL,64.8684,64.8684,,,13.8321,,3.69931,76,0,1,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_10/predictions_flat/design_10.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_10/predictions_flat/design_10.json,
design_10,rf3,MISSING,,,,,,,,,,,,,,
design_10,boltz,MISSING,,,,,,,,,,,,,,
design_11,af3,SUCCESS,FAIL,70.6968,70.6968,,,13.0652,,4.00368,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_11/predictions_flat/design_11.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_11/predictions_flat/design_11.json,
design_11,rf3,MISSING,,,,,,,,,,,,,,
design_11,boltz,MISSING,,,,,,,,,,,,,,
design_12,af3,SUCCESS,FAIL,82.4135,82.4135,,,6.35191,,4.45146,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_12/predictions_flat/design_12.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_12/predictions_flat/design_12.json,
design_12,rf3,MISSING,,,,,,,,,,,,,,
design_12,boltz,MISSING,,,,,,,,,,,,,,
design_13,af3,SUCCESS,FAIL,66.774,66.774,,,11.0758,,7.48736,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_13/predictions_flat/design_13.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_13/predictions_flat/design_13.json,
design_13,rf3,MISSING,,,,,,,,,,,,,,
design_13,boltz,MISSING,,,,,,,,,,,,,,
design_14,af3,SUCCESS,PASS,92.0157,92.0157,,,2.3154,,0.696932,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_14/predictions_flat/design_14.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_14/predictions_flat/design_14.json,
design_14,rf3,SUCCESS,PASS,85.653,85.653,,,1.36571,,0.776207,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/rf3_confirmations_final/design_14/predictions_flat/rf3/design_14.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/rf3_confirmations_final/design_14/predictions_flat/rf3/design_14.json,
design_14,boltz,MISSING,,,,,,,,,,,,,,
design_15,af3,SUCCESS,PASS,85.4948,85.4948,,,4.97676,,2.49962,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_15/predictions_flat/design_15.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_15/predictions_flat/design_15.json,
design_15,rf3,MISSING,,,,,,,,,,,,,,
design_15,boltz,MISSING,,,,,,,,,,,,,,
